vehicle,line_code,date
DR400,335,2019-03-08
EA300,335,2019-03-08
DR401,335,2019-03-08
DR403,335,2019-03-08
DA011,336,2019-03-08
DA027,336,2019-03-08
EA020,338,2019-03-08
EA073,338,2019-03-08
EA192,338,2019-03-08
EA016,338,2019-03-08
EA023,338,2019-03-08
DA012,338,2019-03-08
EA076,338,2019-03-08
DA029,338,2019-03-08
EA003,338,2019-03-08
CL499,340,2019-03-08
CL301,340,2019-03-08
BA030,341,2019-03-08
CI005,341,2019-03-08
CA001,341,2019-03-08
BA004,342,2019-03-08
BA117,342,2019-03-08
BA116,342,2019-03-08
BC942,343,2019-03-08
BI877,361,2019-03-08
BC905,361,2019-03-08
BC931,361,2019-03-08
BC932,365,2019-03-08
BC928,365,2019-03-08
BC933,365,2019-03-08
BC906,365,2019-03-08
BC941,366,2019-03-08
BC908,366,2019-03-08
BI879,366,2019-03-08
BC032,370,2019-03-08
BC028,370,2019-03-08
BC317,371,2019-03-08
BC319,371,2019-03-08
BC312,371,2019-03-08
BA018,371,2019-03-08
BC281,371,2019-03-08
BC316,372,2019-03-08
CC197,372,2019-03-08
CI002,372,2019-03-08
BC314,372,2019-03-08
BC318,372,2019-03-08
BA038,372,2019-03-08
BC029,372,2019-03-08
